Key,Run1,Run2,Run3,Run11,Run12
"user2765047632110736392", 1000, 2700, 4400, 5500, 6000
"user2876024817762115114", 1000, 2700, 3600, 4400, 5900
"user2876024817762115114", 1000, 2700, 3600, 4400, 5900
"user2991564855356304835", 1000, 2900, 4100, 5100, 5700
"user2991564855356304835", 1000, 2900, 4100, 5100, 5700
"user2996592682669871081", 1000, 3500, 3800, 5100, 5700
"user2996592682669871081", 1000, 3500, 3800, 5100, 5700
"user3232700585171816769", 1000, 3400, 3800, 4600, 6500
"user3232700585171816769", 1000, 3400, 3800, 4600, 6500
"user3237728412485383015", 1000, 2700, 3900, 4400, 5700
"user3237728412485383015", 1000, 2700, 3900, 4400, 5700
"user3353268450079572736", 1000, 2700, 3900, 4300, 6100
"user3353268450079572736", 1000, 2700, 3900, 4300, 6100
"user3459217808417385212", 1000, 3200, 3800, 4300, 5200
"user3459217808417385212", 1000, 3200, 3800, 4300, 5200
"user3464245635730951458", 1000, 3000, 3900, 5100, 5800
"user3464245635730951458", 1000, 3000, 3900, 5100, 5800
"user3584813500638707425", 1000, 2300, 3900, 5100, 5900
"user3584813500638707425", 1000, 2300, 3900, 5100, 5900
"user3700353538232897146", 1000, 2900, 4300, 4800, 5800
"user3700353538232897146", 1000, 2900, 4300, 4800, 5800
"user3705381365546463392", 1000, 3100, 4600, 5200, 6300
"user3705381365546463392", 1000, 3100, 4600, 5200, 6300
"user3820921403140653113", 1000, 3200, 3500, 5200, 5700
"user3820921403140653113", 1000, 3200, 3500, 5200, 5700
"user3931898588792031835", 1000, 2500, 3500, 5100, 6100
"user3931898588792031835", 1000, 2500, 3500, 5100, 6100
"user4047438626386221556", 1000, 2800, 3600, 5300, 5300
"user4047438626386221556", 1000, 2800, 3600, 5300, 5300
"user4052466453699787802", 1000, 2600, 4000, 4800, 5500
"user4052466453699787802", 1000, 2600, 4000, 4800, 5500
"user412164360235391016", 1000, 3300, 3400, 4600, 5800
"user412164360235391016", 1000, 3300, 3400, 4600, 5800
"user417192187548957262", 1000, 5400, 8100, 10400, 9500
"user417192187548957262", 1000, 5400, 8100, 10400, 9500
"user4173034318607543769", 1000, 2700, 3200, 4600, 5600
"user4173034318607543769", 1000, 2700, 3200, 4600, 5600
"user4288574356201733490", 1000, 2800, 3500, 5100, 6300
"user4288574356201733490", 1000, 2800, 3500, 5100, 6300
"user4293602183515299736", 1000, 3700, 3900, 5500, 6300
"user4293602183515299736", 1000, 3700, 3900, 5500, 6300
"user4409142221109489457", 1000, 2900, 3900, 4400, 5700
"user4409142221109489457", 1000, 2900, 3900, 4400, 5700
"user4520119406760868179", 1000, 2800, 3400, 4700, 5800
"user4520119406760868179", 1000, 2800, 3400, 4700, 5800
"user4635659444355057900", 1000, 2700, 3500, 4900, 5900
"user4635659444355057900", 1000, 2700, 3500, 4900, 5900
"user4640687271668624146", 1000, 2800, 3800, 4500, 6000
"user4640687271668624146", 1000, 2800, 3800, 4500, 6000
"user4876795174170569834", 1000, 2900, 4100, 4600, 6100
"user4876795174170569834", 1000, 2900, 4100, 4600, 6100
"user4881823001484136080", 1000, 2700, 3700, 4500, 5600
"user4881823001484136080", 1000, 2700, 3700, 4500, 5600
"user4997363039078325801", 1000, 2300, 3500, 5300, 6400
"user4997363039078325801", 1000, 2300, 3500, 5300, 6400
"user5108340224729704523", 1000, 3100, 3900, 4800, 5600
"user5108340224729704523", 1000, 3100, 3900, 4800, 5600
"user5223880262323894244", 1000, 3000, 3700, 4400, 5500
"user5223880262323894244", 1000, 3000, 3700, 4400, 5500
"user5228908089637460490", 1000, 2400, 3500, 4900, 6200
"user5228908089637460490", 1000, 2400, 3500, 4900, 6200
"user532732225143146983", 1000, 2900, 3400, 5000, 6000
"user532732225143146983", 1000, 2900, 3400, 5000, 6000
"user5465015992139406178", 1000, 3000, 3900, 5000, 5600
"user5465015992139406178", 1000, 3000, 3900, 5000, 5600
"user5470043819452972424", 1000, 2900, 3900, 4700, 5300
"user5470043819452972424", 1000, 2900, 3900, 4700, 5300
"user55488592825689361", 1000, 2400, 3900, 5000, 5200
"user55488592825689361", 1000, 2400, 3900, 5000, 5200
"user5585583857047162145", 1000, 2600, 4000, 4900, 5800
"user5585583857047162145", 1000, 2600, 4000, 4900, 5800
"user5691533215384974621", 1000, 2900, 4500, 5200, 5400
"user5691533215384974621", 1000, 2900, 4500, 5200, 5400
"user5696561042698540867", 1000, 2500, 3700, 4800, 6500
"user5696561042698540867", 1000, 2500, 3700, 4800, 6500
"user5817128907606296834", 1000, 3100, 4100, 5100, 5500
"user5817128907606296834", 1000, 3100, 4100, 5100, 5500
"user5932668945200486555", 1000, 2900, 3700, 4800, 6000
"user5932668945200486555", 1000, 2900, 3700, 4800, 6000
"user6053236810108242522", 1000, 2500, 3900, 4500, 5600
"user6053236810108242522", 1000, 2500, 3900, 4500, 5600
"user6164213995759621244", 1000, 3300, 3700, 5200, 5600
"user6164213995759621244", 1000, 3300, 3700, 5200, 5600
"user6279754033353810965", 1000, 3600, 4000, 4600, 6100
"user6279754033353810965", 1000, 3600, 4000, 4600, 6100
"user6284781860667377211", 1000, 3200, 3400, 4900, 5900
"user6284781860667377211", 1000, 3200, 3400, 4900, 5900
"user6405349725575133178", 1000, 3700, 4800, 4600, 7500
"user6405349725575133178", 1000, 3700, 4800, 4600, 7500
"user643709410794525705", 1000, 3600, 4400, 5000, 7300
"user643709410794525705", 1000, 3600, 4400, 5000, 7300
"user6520889763169322899", 1000, 3400, 3800, 4600, 5400
"user6520889763169322899", 1000, 3400, 3800, 4600, 5400
"user6525917590482889145", 1000, 2900, 4300, 4700, 5400
"user6525917590482889145", 1000, 2900, 4300, 4700, 5400
"user6641457628077078866", 1000, 3500, 4000, 4900, 6100
"user6641457628077078866", 1000, 3500, 4000, 4900, 6100
"user6752434813728457588", 1000, 2400, 3900, 4700, 5900
"user6752434813728457588", 1000, 2400, 3900, 4700, 5900
"user6867974851322647309", 1000, 3000, 4400, 5000, 5500
"user6867974851322647309", 1000, 3000, 4400, 5000, 5500
"user6873002678636213555", 1000, 3000, 4500, 5400, 6400
"user6873002678636213555", 1000, 3000, 4500, 5400, 6400
"user7109110581138159243", 1000, 3000, 3700, 5000, 5800
"user7109110581138159243", 1000, 3000, 3700, 5000, 5800
"user7114138408451725489", 1000, 3000, 4500, 5200, 6600
"user7114138408451725489", 1000, 3000, 4500, 5200, 6600
"user7229678446045915210", 1000, 3300, 4900, 5700, 6300
"user7229678446045915210", 1000, 3300, 4900, 5700, 6300
"user7340655631697293932", 1000, 3100, 3700, 4300, 6000
"user7340655631697293932", 1000, 3100, 3700, 4300, 6000
"user7456195669291483653", 1000, 3200, 3800, 5100, 5900
"user7456195669291483653", 1000, 3200, 3800, 5100, 5900
"user7461223496605049899", 1000, 2800, 4200, 5100, 5800
"user7461223496605049899", 1000, 2800, 4200, 5100, 5800
"user7576763534199239620", 1000, 2900, 3700, 4800, 5800
"user7576763534199239620", 1000, 2900, 3700, 4800, 5800
"user759249448388715426", 1000, 2700, 3600, 4700, 5300
"user759249448388715426", 1000, 2700, 3600, 4700, 5300
"user764277275702281672", 1000, 2700, 3800, 4900, 5800
"user764277275702281672", 1000, 2700, 3800, 4900, 5800
"user7697331399106995587", 1000, 2900, 3600, 4800, 6400
"user7697331399106995587", 1000, 2900, 3600, 4800, 6400
"user7702359226420561833", 1000, 2600, 3700, 5200, 6300
"user7702359226420561833", 1000, 2600, 3700, 5200, 6300
"user7817899264014751554", 1000, 2800, 3700, 4800, 5900
"user7817899264014751554", 1000, 2800, 3700, 4800, 5900
"user7923848622352564030", 1000, 3100, 3800, 5000, 6500
"user7923848622352564030", 1000, 3100, 3800, 5000, 6500
"user7928876449666130276", 1000, 3700, 4700, 5400, 5900
"user7928876449666130276", 1000, 3700, 4700, 5400, 5900
"user8049444314573886243", 1000, 2900, 3800, 5200, 5800
"user8049444314573886243", 1000, 2900, 3800, 5200, 5800
"user8164984352168075964", 1000, 3300, 4300, 5300, 6400
"user8164984352168075964", 1000, 3300, 4300, 5300, 6400
"user8285552217075831931", 1000, 2900, 3900, 4700, 6000
"user8285552217075831931", 1000, 2900, 3900, 4700, 6000
"user8290580044389398177", 1000, 3900, 5400, 6700, 7900
"user8290580044389398177", 1000, 3900, 5400, 6700, 7900
"user8396529402727210653", 1000, 4500, 4500, 6100, 6700
"user8396529402727210653", 1000, 4500, 4500, 6100, 6700
"user8512069440321400374", 1000, 2800, 4000, 4800, 6200
"user8512069440321400374", 1000, 2800, 4000, 4800, 6200
"user8517097267634966620", 1000, 2500, 4000, 4400, 6200
"user8517097267634966620", 1000, 2500, 4000, 4400, 6200
"user8637665132542722587", 1000, 4000, 4500, 5600, 6300
"user8637665132542722587", 1000, 4000, 4500, 5600, 6300
"user8753205170136912308", 1000, 3400, 3800, 4800, 6200
"user8753205170136912308", 1000, 3400, 3800, 4800, 6200
"user8758232997450478554", 1000, 3400, 4200, 4700, 6300
"user8758232997450478554", 1000, 3400, 4200, 4700, 6300
"user8873773035044668275", 1000, 2400, 4200, 4900, 5800
"user8873773035044668275", 1000, 2400, 4200, 4900, 5800
"user8984750220696046997", 1000, 3000, 3600, 4700, 6000
"user8984750220696046997", 1000, 3000, 3600, 4700, 6000
"user9100290258290236718", 1000, 2500, 4000, 4600, 5500
"user9100290258290236718", 1000, 2500, 4000, 4600, 5500
"user9105318085603802964", 1000, 2900, 3800, 4900, 5600
"user9105318085603802964", 1000, 2900, 3800, 4900, 5600
